date, pm25, pm10, o3, no2, so2, co
2022/3/1, 140, 60, 13, 7, 3, 7
2022/3/2, 127, 112, 4, 9, 5, 9
2022/3/3, 173, 53, 15, 8, 1, 8
2022/3/4, 126, 125, 8, 9, 6, 10
2022/3/5, 192, 69, 7, 9, 7, 7
2022/3/6, 149, 55, 5, 8, 5, 7
2022/3/7, 127, 32, 8, 8, 1, 5
2022/3/8, 82, 84, 7, 3, 1, 7
2022/3/10, 128, 62, 7, 7, 1, 9
2022/3/11, 126, 65, 3, 7, 1, 8
2022/3/12, 128, 57, 7, 7, 1, 6
2022/3/13, 117, 55, 12, 8, 2, 6
2022/2/1, 151, 84, 4, 21, 4, 8
2022/2/7, 142, 48, 1, 6, 6, 7
2022/2/8, 125, 61, 1, 7, 3, 8
2022/2/9, 155, 74, 6, 7, 2, 9
2022/2/10, 170, 63, 10, 5, 3, 7
2022/2/11, 142, 81, 4, 6, 2, 7
2022/2/12, 135, 37, 7, 6, 1, 6
2022/2/13, 87, 68, 4, 6, 1, 7
2022/2/14, 150, 61, 4, 7, 2, 8
2022/2/15, 142, 73, 1, 8, 3, 7
2022/2/17, 99, 64, 7, 7, 2, 6
2022/2/18, 114, 58, 11, 7, 3, 7
2022/2/19, 126, 71, 14, 7, 3, 6
2022/2/20, 149, 55, 6, 7, 2, 7
2022/2/21, 115, 39, 8, 8, 1, 9
2022/2/22, 93, 33, 3, 8, 1, 8
2022/2/23, 83, 38, 36, 7, 1, 9
2022/2/24, 91, 74, 10, 7, 5, 7
2022/2/25, 155, 67, 11, 7, 7, 6
2022/2/26, 137, 73, 9, 7, 1, 5
2022/2/27, 136, 51, 9, 7, 2, 4
2022/2/28, 108, 71, 8, 7, 2, 6
2022/1/3, 116, 56, 14, 7, 9, 12
2022/1/4, 138, 77, 14, 7, 10, 13
2022/1/5, 166, 85, 17, 7, 9, 12
2022/1/6, 176, 77, 14, 7, 7, 10
2022/1/7, 152, 66, 13, 7, 7, 8
2022/1/8, 139, 49, 12, 7, 8, 7
2022/1/9, 117, 53, 17, 7, 9, 7
2022/1/10, 130, 48, 12, 7, 8, 8
2022/1/11, 111, 52, 8, 6, 7, 8
2022/1/12, 116, 54, 9, 7, 8, 8
2022/1/13, 114, 63, 11, 7, 6, 9
2022/1/14, 122, 43, 9, 7, 5, 7
2022/1/15, 92, 54, 12, 7, 5, 7
2022/1/16, 118, 53, 9, 6, 5, 7
2022/1/17, 116, 57, 11, 5, 5, 9
2022/1/18, 126, 55, 12, 5, 5, 9
2022/1/19, 114, 75, 13, 5, 6, 9
2022/1/20, 151, 78, 9, 5, 6, 9
2022/1/21, 152, 68, 6, 5, 5, 8
2022/1/22, 138, 50, 5, 5, 4, 6
2022/1/23, 111, 42, 3, 5, 3, 6
2022/1/24, 101, 63, 16, 5, 2, 5
2022/1/25, 142, 53, 18, 5, 2, 4
2022/1/26, 124, 52, 18, 5, 3, 5
2022/1/27, 115, 59, 16, 5, 3, 6
2022/1/28, 123, 69, 12, 5, 5, 8
2022/1/29, 136, 67, 19, 5, 5, 10
2022/1/30, 137, 101, 11, 7, 6, 10
2022/1/31, 173, 70, 4, 20, 3, 8
